Timestamp CET,Age,Gender,Region,Ethnicity,Platforms Owned,Platforms May,Fav Pubs,Fav Devs,Fav Franchises,Data Sales
2019-06-15 13:40:46,👱‍♂️ 18 - 24,♂ Male,Europe,Asian / Pacific Islander,"Sony Playstation retro (1, 2);Windows Desktop;Windows Laptop;Android Mobile",Sony Playstation 4;Windows Laptop,Devolver Digital;Ubisoft;TinyBuild,Bioware;Rockstar Games;Ubisoft;Eidos Interactive,Dragon Age;Grand Theft Auto;Mass Effect;Hitman,Now this is epic.
2019-06-15 13:47:52,👱‍♂️ 18 - 24,♂ Male,Europe,White,"Nintendo WiiU;Nintendo Switch;Nintendo handheld (GameBoy, DS etc);Sony Playstation 3;Sony Playstation 4;Windows Desktop;Apple Laptop;iOS Mobile;iOS Tablet",Sony Playstation 4;iOS Mobile,Atlus;Bandai/Namco;Nintendo;Sony;SquareEnix,Atlus;From Software;Nintendo;Platinum Games,Mario;Persona;Souls,Now this is epic.
2019-06-15 13:47:53,🧔 25 - 34,♂ Male,Europe,White,"Nintendo retro (SNES, SNES, N64 etc);Nintendo Wii;Nintendo WiiU;Nintendo Switch;Nintendo handheld (GameBoy, DS etc);Sony Playstation 3;Sony Playstation 4;Windows Desktop;Android Mobile;Android Tablet","Nintendo Switch;Nintendo handheld (GameBoy, DS etc);Sony Playstation 4;Windows Desktop",Atlus;Capcom;Nintendo,Atlus;Capcom;CD Projekt Red;From Software;Id Software;Platinum Games,Monster Hunter;Persona;Shin Megami Tensei;Witcher;Yakuza,Now this is epic.
2019-06-15 13:47:58,👱‍♂️ 18 - 24,♂ Male,Europe,Mixed,"Nintendo handheld (GameBoy, DS etc);Sony Playstation retro (1, 2);Sony Playstation 4;XBox;XBox 360;Windows Desktop;Dreamcast",Sony Playstation 4;Windows Desktop,Devolver Digital;Microsoft;Nintendo;Sony;Ubisoft,Bungie;Kojima Productions;Platinum Games;Rockstar Games;Santa Monica Studios,Halo;Mario;Rainbow Six,Now this is epic.
2019-06-15 13:48:09,👱‍♂️ 18 - 24,♂ Male,North America,White,"Nintendo retro (SNES, SNES, N64 etc);Nintendo Wii;Sony Playstation 4",Sony Playstation 4,Sony,Atlus;Bethesda Game Studios;Capcom;Naughty Dog;Nintendo;Obsidian;Rockstar Games,Elder Scrolls;Fallout;Mario;Uncharted,My data belongs on American soil!
2019-06-15 13:48:20,👱‍♂️ 18 - 24,♂ Male,Asia / Pacific,Asian / Pacific Islander,Windows Laptop;Apple Laptop;Linux Laptop,Windows Laptop,Valve,CD Projekt Red,Witcher,Now this is epic.
2019-06-15 13:48:29,👱‍♂️ 18 - 24,♂ Male,Asia / Pacific,White,Sony Playstation 3;XBox One;Windows Laptop,XBox One,Bethesda;Microsoft;Nintendo;Ubisoft,Bethesda Game Studios;Id Software;Nintendo;Ubisoft,Elder Scrolls;Fallout;Far Cry;Halo;Mario;Rainbow Six;Serious Sam;Crash Bandicoot,Now this is epic.
2019-06-15 13:48:34,👱‍♂️ 18 - 24,⚧ Other,North America,White,"Nintendo Switch;Nintendo handheld (GameBoy, DS etc);XBox One;Windows Laptop;iOS Mobile","Nintendo Switch;Nintendo handheld (GameBoy, DS etc);XBox One;Windows Laptop",Bethesda;Devolver Digital,Nintendo;Obsidian,,Now this is epic.
2019-06-15 13:48:44,👱‍♂️ 18 - 24,♂ Male,North America,Middle Eastern / Arab,Windows Desktop,Windows Desktop,Bethesda;Blizzard;EA;Microsoft;Ubisoft;Valve;Warner Bros. Interactive Entertainment;Zenimax,Bethesda Game Studios;Bioware;Blizzard;Bungie;CD Projekt Red;Naughty Dog;Obsidian;Rockstar Games;Santa Monica Studios;Ubisoft;Warner Bros. Interactive Entertainment,Battlefield;Call of Duty;Dragon Age;Halo;Mass Effect;Rainbow Six;Souls;Witcher,Now this is epic.
2019-06-15 13:49:12,👱‍♂️ 18 - 24,♂ Male,Middle East,Mixed,Windows Laptop;Android Mobile,Windows Laptop,Bethesda;Devolver Digital;Microsoft;Sony;Take-Two;THQ Nordic;Ubisoft;Valve;Warner Bros. Interactive Entertainment;Zenimax,Bioware;Id Software;Obsidian;Ubisoft,Elder Scrolls;Fallout,My data belongs on American soil!
2019-06-15 13:50:01,👱‍♂️ 18 - 24,♂ Male,North America,White,Nintendo Switch;XBox 360;XBox One;Windows Desktop,Nintendo Switch;Windows Desktop,Quantic dream,From Software,dead by Daylight,Now this is epic.
2019-06-15 13:50:20,👱‍♂️ 18 - 24,♂ Male,North America,White,Nintendo WiiU;Nintendo Switch;Sony Playstation 4;XBox 360;Windows Desktop;Android Mobile,Nintendo Switch;Sony Playstation 4;Windows Desktop,Bethesda;Microsoft;Nintendo;Sony;Ubisoft,Atlus;Bethesda Game Studios;Capcom;From Software;Id Software;Nintendo;Ubisoft,Assassin's Creed;Elder Scrolls;Fallout;God of War;Persona;Souls;Warcraft,Now this is epic.
2019-06-15 13:50:22,👱‍♂️ 18 - 24,♂ Male,Europe,Mixed,Windows Desktop,Windows Desktop,THQ Nordic,CD Projekt Red,Witcher,Now this is epic.
2019-06-15 13:50:25,👱‍♂️ 18 - 24,♂ Male,Europe,Turk,"Sony Playstation 4;Sony handheld (PSP, Vita);Windows Desktop;Windows Laptop;Android Mobile",Sony Playstation 4;Windows Desktop;Android Mobile,Devolver Digital;Sony,CD Projekt Red;Gearbox;Id Software;Naughty Dog;Platinum Games;Rockstar Games;Santa Monica Studios,God of War;Grand Theft Auto;Witcher;Red Dead Redemption with the sequel,My data belongs on American soil!
2019-06-15 13:50:58,🧔 25 - 34,♂ Male,Europe,White,"Nintendo Switch;Sony Playstation retro (1, 2);Sony Playstation 3;Sony Playstation 4;Sony handheld (PSP, Vita);XBox;XBox 360;XBox One;Windows Desktop;Windows Laptop;Android Mobile;iOS Tablet",Nintendo Switch;Sony Playstation 4;Windows Desktop,Sony;Ubisoft,Bioware;From Software,Dragon Age;God of War;Souls;Uncharted,My data belongs on American soil!
2019-06-15 13:51:28,👱‍♂️ 18 - 24,♂ Male,Europe,White,"Nintendo Wii;Nintendo WiiU;Nintendo Switch;Nintendo handheld (GameBoy, DS etc);Windows Desktop",Windows Desktop,Nintendo;Ubisoft,Dice;Nintendo;Platinum Games;Ubisoft,Assassin's Creed;Battlefield,Now this is epic.
2019-06-15 13:51:51,👦 12 - 17,♂ Male,North America,White,Nintendo Switch;XBox One;iOS Mobile,Nintendo Switch;Sony Playstation 4 Pro;XBox One;iOS Mobile,Bethesda;Microsoft;Nintendo;Ubisoft;Zenimax,Bethesda Game Studios;Nintendo;Obsidian;Rockstar Games;Ubisoft,Assassin's Creed;Battlefield;Elder Scrolls;Fallout;Halo;Mario;Rainbow Six;Star Wars;Uncharted,Now this is epic.
2019-06-15 13:52:56,👦 12 - 17,♂ Male,Europe,White,XBox 360;Windows Laptop;Android Mobile,Windows Laptop;Android Mobile,Bethesda;Devolver Digital;Nintendo;THQ Nordic;Valve;Zenimax,Bethesda Game Studios;Bungie;Dice;Gearbox;Id Software;Kojima Productions;Nintendo;Obsidian;THQ Nordic,Elder Scrolls;Fallout;Halo;Serious Sam;Borderlands,My data belongs on American soil!
2019-06-15 13:53:25,🧔 25 - 34,♂ Male,Europe,White,Sony Playstation 4;Windows Desktop,Sony Playstation 4;Windows Desktop,Valve,Id Software,Grand Theft Auto,Now this is epic.
2019-06-15 13:54:39,👴 35 - Old as fuck,♂ Male,Europe,White,Sony Playstation 3;Sony Playstation 4;Apple Laptop;iOS Mobile;iOS Tablet,Apple Laptop;iOS Mobile,Atlus;EA;Sony;SEGA,Atlus;Bethesda Game Studios;Bioware;Id Software;That Game Company,Assassin's Creed;Fallout;Final Fantasy;Persona;Yakuza,Now this is epic.
2019-06-15 13:54:45,👦 12 - 17,♂ Male,Europe,White,Windows Laptop,Windows Laptop,Devolver Digital,Ubisoft,Souls,Now this is epic.
2019-06-15 13:56:07,👦 12 - 17,♂ Male,Europe,White,"Nintendo Wii;Nintendo WiiU;Nintendo Switch;Nintendo handheld (GameBoy, DS etc);Sony Playstation 3;XBox 360;Windows Desktop;iOS Mobile;iOS Tablet",Nintendo Switch;Windows Desktop,Blizzard;Nintendo;Valve,Bioware;Blizzard;CD Projekt Red;Id Software;Kojima Productions;Platinum Games;Rockstar Games,Grand Theft Auto;Mario;Metal Gear;Witcher,Now this is epic.
2019-06-15 13:56:12,👱‍♂️ 18 - 24,♂ Male,Europe,White,Nintendo Switch;Windows Desktop,Nintendo Switch;Windows Desktop,Microsoft,Paradox Interactive,Elder Scrolls,My data belongs on American soil!
2019-06-15 13:56:13,🧔 25 - 34,♂ Male,North America,White,"Nintendo retro (NES, SNES, N64 etc);Nintendo Switch;Sony Playstation 3;Sony Playstation 4;XBox 360;Windows Desktop;Windows Laptop",Nintendo Switch;Sony Playstation 4;Windows Desktop,Bethesda;Nintendo,From Software,Persona,Now this is epic.
2019-06-15 13:56:46,👱‍♂️ 18 - 24,♀ Female,Europe,White,Windows Laptop;Android Mobile,Windows Laptop,Bethesda;SquareEnix,Bethesda Game Studios;Bioware;Naughty Dog;Rockstar Games,Dragon Age;Elder Scrolls;Grand Theft Auto;Mass Effect;Witcher,Now this is epic.
