"Timestamp","1️⃣ Age?","2️⃣ Gender?","3️⃣ Location?","4️⃣ Ethnicity","5️⃣ Gaming platform(s) you own","6️⃣ Gaming platform(s) you've played during the month of May","7️⃣ Favourite publisher(s)","8️⃣ Favourite developer(s)","9️⃣ Favourite current-generation franchise(s)","Finally, do you agree with your data being sold to the Chinese government?"
"2019/06/15 1:40:46 pm CET","👱‍♂️ 18 - 24","♂ Male","Europe","Asian / Pacific Islander","Sony Playstation retro (1, 2);Windows Desktop;Windows Laptop;Android Mobile","Sony Playstation 4;Windows Laptop","Devolver Digital;Ubisoft;TinyBuild","Bioware;Rockstar Games;Ubisoft;Eidos Interactive","Dragon Age;Grand Theft Auto;Mass Effect;Hitman","Now this is epic."
"2019/06/15 1:47:52 pm CET","👱‍♂️ 18 - 24","♂ Male","Europe","White","Nintendo WiiU;Nintendo Switch;Nintendo handheld (GameBoy, DS etc);Sony Playstation 3;Sony Playstation 4;Windows Desktop;Apple Laptop;iOS Mobile;iOS Tablet","Sony Playstation 4;iOS Mobile","Atlus;Bandai/Namco;Nintendo;Sony;SquareEnix","Atlus;From Software;Nintendo;Platinum Games","Mario;Persona;Souls","Now this is epic."
"2019/06/15 1:47:53 pm CET","🧔 25 - 34","♂ Male","Europe","White","Nintendo retro (SNES, SNES, N64 etc);Nintendo Wii;Nintendo WiiU;Nintendo Switch;Nintendo handheld (GameBoy, DS etc);Sony Playstation 3;Sony Playstation 4;Windows Desktop;Android Mobile;Android Tablet","Nintendo Switch;Nintendo handheld (GameBoy, DS etc);Sony Playstation 4;Windows Desktop","Atlus;Capcom;Nintendo","Atlus;Capcom;CD Projekt Red;From Software;Id Software;Platinum Games","Monster Hunter;Persona;Shin Megami Tensei;Witcher;Yakuza","Now this is epic."
"2019/06/15 1:47:58 pm CET","👱‍♂️ 18 - 24","♂ Male","Europe","Mixed","Nintendo handheld (GameBoy, DS etc);Sony Playstation retro (1, 2);Sony Playstation 4;XBox;XBox 360;Windows Desktop;Dreamcast","Sony Playstation 4;Windows Desktop","Devolver Digital;Microsoft;Nintendo;Sony;Ubisoft","Bungie;Kojima Productions;Platinum Games;Rockstar Games;Santa Monica Studios","Halo;Mario;Rainbow Six","Now this is epic."
"2019/06/15 1:48:09 pm CET","👱‍♂️ 18 - 24","♂ Male","North America","White","Nintendo retro (SNES, SNES, N64 etc);Nintendo Wii;Sony Playstation 4","Sony Playstation 4","Sony","Atlus;Bethesda Game Studios;Capcom;Naughty Dog;Nintendo;Obsidian;Rockstar Games","Elder Scrolls;Fallout;Mario;Uncharted","My data belongs on American soil!"
"2019/06/15 1:48:20 pm CET","👱‍♂️ 18 - 24","♂ Male","Asia / Pacific","Asian / Pacific Islander","Windows Laptop;Apple Laptop;Linux Laptop","Windows Laptop","Valve","CD Projekt Red","Witcher","Now this is epic."
"2019/06/15 1:48:29 pm CET","👱‍♂️ 18 - 24","♂ Male","Asia / Pacific","White","Sony Playstation 3;XBox One;Windows Laptop","XBox One","Bethesda;Microsoft;Nintendo;Ubisoft","Bethesda Game Studios;Id Software;Nintendo;Ubisoft","Elder Scrolls;Fallout;Far Cry;Halo;Mario;Rainbow Six;Serious Sam;Crash Bandicoot","Now this is epic."
"2019/06/15 1:48:34 pm CET","👱‍♂️ 18 - 24","⚧ Other","North America","White","Nintendo Switch;Nintendo handheld (GameBoy, DS etc);XBox One;Windows Laptop;iOS Mobile","Nintendo Switch;Nintendo handheld (GameBoy, DS etc);XBox One;Windows Laptop","Bethesda;Devolver Digital","Nintendo;Obsidian","","Now this is epic."
"2019/06/15 1:48:44 pm CET","👱‍♂️ 18 - 24","♂ Male","North America","Middle Eastern / Arab","Windows Desktop","Windows Desktop","Bethesda;Blizzard;EA;Microsoft;Ubisoft;Valve;Warner Bros. Interactive Entertainment;Zenimax","Bethesda Game Studios;Bioware;Blizzard;Bungie;CD Projekt Red;Naughty Dog;Obsidian;Rockstar Games;Santa Monica Studios;Ubisoft;Warner Bros. Interactive Entertainment","Battlefield;Call of Duty;Dragon Age;Halo;Mass Effect;Rainbow Six;Souls;Witcher","Now this is epic."
"2019/06/15 1:49:12 pm CET","👱‍♂️ 18 - 24","♂ Male","Middle East","Mixed","Windows Laptop;Android Mobile","Windows Laptop","Bethesda;Devolver Digital;Microsoft;Sony;Take-Two;THQ Nordic;Ubisoft;Valve;Warner Bros. Interactive Entertainment;Zenimax","Bioware;Id Software;Obsidian;Ubisoft","Elder Scrolls;Fallout","My data belongs on American soil!"
"2019/06/15 1:50:01 pm CET","👱‍♂️ 18 - 24","♂ Male","North America","White","Nintendo Switch;XBox 360;XBox One;Windows Desktop","Nintendo Switch;Windows Desktop","Quantic dream","From Software","dead by Daylight","Now this is epic."
"2019/06/15 1:50:20 pm CET","👱‍♂️ 18 - 24","♂ Male","North America","White","Nintendo WiiU;Nintendo Switch;Sony Playstation 4;XBox 360;Windows Desktop;Android Mobile","Nintendo Switch;Sony Playstation 4;Windows Desktop","Bethesda;Microsoft;Nintendo;Sony;Ubisoft","Atlus;Bethesda Game Studios;Capcom;From Software;Id Software;Nintendo;Ubisoft","Assassin's Creed;Elder Scrolls;Fallout;God of War;Persona;Souls;Warcraft","Now this is epic."
"2019/06/15 1:50:22 pm CET","👱‍♂️ 18 - 24","♂ Male","Europe","Mixed","Windows Desktop","Windows Desktop","THQ Nordic","CD Projekt Red","Witcher","Now this is epic."
"2019/06/15 1:50:25 pm CET","👱‍♂️ 18 - 24","♂ Male","Europe","Turk","Sony Playstation 4;Sony handheld (PSP, Vita);Windows Desktop;Windows Laptop;Android Mobile","Sony Playstation 4;Windows Desktop;Android Mobile","Devolver Digital;Sony","CD Projekt Red;Gearbox;Id Software;Naughty Dog;Platinum Games;Rockstar Games;Santa Monica Studios","God of War;Grand Theft Auto;Witcher;Red Dead Redemption with the sequel","My data belongs on American soil!"
"2019/06/15 1:50:58 pm CET","🧔 25 - 34","♂ Male","Europe","White","Nintendo Switch;Sony Playstation retro (1, 2);Sony Playstation 3;Sony Playstation 4;Sony handheld (PSP, Vita);XBox;XBox 360;XBox One;Windows Desktop;Windows Laptop;Android Mobile;iOS Tablet","Nintendo Switch;Sony Playstation 4;Windows Desktop","Sony;Ubisoft","Bioware;From Software","Dragon Age;God of War;Souls;Uncharted","My data belongs on American soil!"
"2019/06/15 1:51:28 pm CET","👱‍♂️ 18 - 24","♂ Male","Europe","White","Nintendo Wii;Nintendo WiiU;Nintendo Switch;Nintendo handheld (GameBoy, DS etc);Windows Desktop","Windows Desktop","Nintendo;Ubisoft","Dice;Nintendo;Platinum Games;Ubisoft","Assassin's Creed;Battlefield","Now this is epic."
"2019/06/15 1:51:51 pm CET","👦 12 - 17","♂ Male","North America","White","Nintendo Switch;XBox One;iOS Mobile","Nintendo Switch;Sony Playstation 4 Pro;XBox One;iOS Mobile","Bethesda;Microsoft;Nintendo;Ubisoft;Zenimax","Bethesda Game Studios;Nintendo;Obsidian;Rockstar Games;Ubisoft","Assassin's Creed;Battlefield;Elder Scrolls;Fallout;Halo;Mario;Rainbow Six;Star Wars;Uncharted","Now this is epic."
